TM1,Score1,vs,TM2,Score2,week
BUF,31,-,LAR,10,1
BAL,24,-,NYJ,9,1
CLE,26,-,CAR,24,1
IND,20,-,HOU,20,1
WAS,28,-,JAC,22,1
MIA,20,-,NE,7,1
NO,27,-,ATL,26,1
PHI,38,-,DET,35,1
PIT,23,-,CIN,20,1
CHI,19,-,SF,10,1
MIN,23,-,GB,7,1
KC,44,-,ARI,21,1
LAC,24,-,LV,19,1
NYG,21,-,TEN,20,1
TB,19,-,DAL,3,1
SEA,17,-,DEN,16,1
KC,27,-,LAC,24,2
NYG,19,-,CAR,16,2
JAC,24,-,IND,0,2
MIA,42,-,BAL,38,2
NE,17,-,PIT,14,2
NYJ,31,-,CLE,30,2
TB,20,-,NO,10,2
DET,36,-,WAS,27,2
LAR,31,-,ATL,27,2
SF,27,-,SEA,7,2
ARI,29,-,LV,23,2
DAL,20,-,CIN,17,2
DEN,16,-,HOU,9,2
GB,27,-,CHI,10,2
BUF,41,-,TEN,7,2
PHI,24,-,MIN,7,2
CLE,29,-,PIT,17,3
BAL,37,-,NE,26,3
MIA,21,-,BUF,19,3
CIN,27,-,NYJ,12,3
MIN,28,-,DET,24,3
CHI,23,-,HOU,20,3
IND,20,-,KC,17,3
TEN,24,-,LV,22,3
CAR,22,-,NO,14,3
PHI,24,-,WAS,8,3
JAC,38,-,LAC,10,3
ATL,27,-,SEA,23,3
GB,14,-,TB,12,3
LAR,20,-,ARI,12,3
DEN,11,-,SF,10,3
DAL,23,-,NYG,16,3
CIN,27,-,MIA,15,4
MIN,28,-,NO,25,4
NYG,20,-,CHI,12,4
BUF,23,-,BAL,20,4
ATL,23,-,CLE,20,4
PHI,29,-,JAC,21,4
LAC,34,-,HOU,24,4
NYJ,24,-,PIT,20,4
SEA,48,-,DET,45,4
TEN,24,-,IND,17,4
DAL,25,-,WAS,10,4
ARI,26,-,CAR,16,4
LV,32,-,DEN,23,4
GB,27,-,NE,24,4
KC,41,-,TB,31,4
SF,24,-,LAR,9,4
IND,12,-,DEN,9,5
NYG,27,-,GB,22,5
MIN,29,-,CHI,22,5
TB,21,-,ATL,15,5
NE,29,-,DET,0,5
HOU,13,-,JAC,6,5
LAC,30,-,CLE,28,5
NYJ,40,-,MIA,17,5
BUF,38,-,PIT,3,5
NO,39,-,SEA,32,5
TEN,21,-,WAS,17,5
SF,37,-,CAR,15,5
DAL,22,-,LAR,10,5
PHI,20,-,ARI,17,5
BAL,19,-,CIN,17,5
KC,30,-,LV,29,5
WAS,12,-,CHI,7,6
CIN,30,-,NO,26,6
NYG,24,-,BAL,20,6
IND,34,-,JAC,27,6
MIN,24,-,MIA,16,6
NE,38,-,CLE,15,6
NYJ,27,-,GB,10,6
ATL,28,-,SF,14,6
PIT,20,-,TB,18,6
SEA,19,-,ARI,9,6
LAR,24,-,CAR,10,6
BUF,24,-,KC,20,6
PHI,26,-,DAL,17,6
LAC,19,-,DEN,16,6
ARI,42,-,NO,34,7
CIN,35,-,ATL,17,7
BAL,23,-,CLE,20,7
DAL,24,-,DET,6,7
WAS,23,-,GB,21,7
TEN,19,-,IND,10,7
NYG,23,-,JAC,17,7
CAR,21,-,TB,3,7
LV,38,-,HOU,20,7
NYJ,16,-,DEN,9,7
KC,44,-,SF,23,7
SEA,37,-,LAC,23,7
MIA,16,-,PIT,10,7
CHI,33,-,NE,14,7
BAL,27,-,TB,22,8
DEN,21,-,JAC,17,8
MIN,34,-,ARI,26,8
ATL,37,-,CAR,34,8
DAL,49,-,CHI,29,8
NO,24,-,LV,0,8
MIA,31,-,DET,27,8
NE,22,-,NYJ,17,8
PHI,35,-,PIT,13,8
TEN,17,-,HOU,10,8
SEA,27,-,NYG,13,8
SF,31,-,LAR,14,8
WAS,17,-,IND,16,8
BUF,27,-,GB,17,8
CLE,32,-,CIN,13,8
PHI,29,-,HOU,17,9
NYJ,20,-,BUF,17,9
CIN,42,-,CAR,21,9
DET,15,-,GB,9,9
NE,26,-,IND,3,9
LAC,20,-,ATL,17,9
JAC,27,-,LV,20,9
MIA,35,-,CHI,32,9
MIN,20,-,WAS,17,9
SEA,31,-,ARI,21,9
TB,16,-,LAR,13,9
KC,20,-,TEN,17,9
BAL,27,-,NO,13,9
