TM1,Score1,vs,TM2,Score2,week
BUF,31,-,LAR,10,1
BAL,24,-,NYJ,9,1
CLE,26,-,CAR,24,1
IND,20,-,HOU,20,1
WAS,28,-,JAC,22,1
MIA,20,-,NE,7,1
NO,27,-,ATL,26,1
PHI,38,-,DET,35,1
PIT,23,-,CIN,20,1
CHI,19,-,SF,10,1
MIN,23,-,GB,7,1
KC,44,-,ARI,21,1
LAC,24,-,LV,19,1
NYG,21,-,TEN,20,1
TB,19,-,DAL,3,1
SEA,17,-,DEN,16,1
KC,27,-,LAC,24,2
NYG,19,-,CAR,16,2
JAC,24,-,IND,0,2
MIA,42,-,BAL,38,2
NE,17,-,PIT,14,2
NYJ,31,-,CLE,30,2
TB,20,-,NO,10,2
DET,36,-,WAS,27,2
LAR,31,-,ATL,27,2
SF,27,-,SEA,7,2
ARI,29,-,LV,23,2
DAL,20,-,CIN,17,2
DEN,16,-,HOU,9,2
GB,27,-,CHI,10,2
BUF,41,-,TEN,7,2
PHI,24,-,MIN,7,2
CLE,29,-,PIT,17,3
BAL,37,-,NE,26,3
MIA,21,-,BUF,19,3
CIN,27,-,NYJ,12,3
MIN,28,-,DET,24,3
CHI,23,-,HOU,20,3
IND,20,-,KC,17,3
TEN,24,-,LV,22,3
CAR,22,-,NO,14,3
PHI,24,-,WAS,8,3
JAC,38,-,LAC,10,3
ATL,27,-,SEA,23,3
GB,14,-,TB,12,3
LAR,20,-,ARI,12,3
DEN,11,-,SF,10,3
DAL,23,-,NYG,16,3
